,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Santa Cruz,28,BR,1567630583,65,-6.22,-36.02,77.09,16.46
1,Vaini,100,IN,1567630628,92,15.34,74.49,75.29,5.99
2,Cabo San Lucas,20,MX,1567630681,49,22.89,-109.91,96.01,11.41
3,Ribeira Grande,20,PT,1567630624,73,38.52,-28.7,73.4,13.87
4,Rikitea,100,PF,1567630634,73,-23.12,-134.97,73.31,4.43
5,Lompoc,1,US,1567630652,68,34.64,-120.46,91.0,16.11
6,Ilulissat,75,GL,1567630756,75,69.22,-51.1,42.8,3.36
7,Bilibino,0,RU,1567630757,44,68.06,166.44,42.35,2.33
8,Qaanaaq,30,GL,1567630644,49,77.48,-69.36,33.71,4.52
9,Santa Cruz Cabralia,20,BR,1567630580,69,-16.28,-39.02,77.0,9.17
10,Mataura,100,NZ,1567630430,97,-46.19,168.86,46.99,4.83
11,Port Elizabeth,1,US,1567630426,46,39.31,-74.98,93.0,9.17
12,Poplar Bluff,40,US,1567630764,50,36.76,-90.39,95.0,6.93
13,MBour,75,SN,1567630765,88,14.41,-16.97,84.2,4.7
14,Ushuaia,0,AR,1567630353,56,-54.81,-68.31,42.8,19.46
15,Bredasdorp,41,ZA,1567630629,87,-34.53,20.04,52.0,1.12
16,Mahebourg,75,MU,1567630769,88,-20.41,57.7,72.0,10.67
17,Albany,90,US,1567630621,78,42.65,-73.75,82.0,5.82
18,Tarko-Sale,48,RU,1567630771,94,64.92,77.78,45.0,3.0
19,Altay,100,CN,1567630772,59,47.83,88.13,52.07,3.09
20,Kapuskasing,20,CA,1567630683,39,49.42,-82.43,62.6,16.11
21,Katsuura,90,JP,1567630649,88,33.93,134.5,77.0,10.29
22,Busselton,26,AU,1567630626,68,-33.64,115.35,36.0,10.16
23,Tuktoyaktuk,75,CA,1567630777,81,69.44,-133.03,50.0,9.17
24,Hilo,90,US,1567630654,78,19.71,-155.08,82.0,11.41
25,Cuamba,0,MZ,1567630780,41,-14.8,36.54,68.45,7.38
26,Bambanglipuro,13,ID,1567630781,83,-7.95,110.28,73.31,13.15
27,Columbia,1,US,1567630515,52,34.0,-81.03,91.99,10.29
28,Bandarbeyla,0,SO,1567630486,76,9.49,50.81,76.19,27.56
29,Port Alfred,100,ZA,1567630436,94,-33.59,26.89,57.0,3.06
30,Coihaique,0,CL,1567630786,36,-45.58,-72.07,50.0,14.99
31,Nikolskoye,20,RU,1567630629,77,59.7,30.79,60.01,8.95
32,Indija,96,LT,1567630788,92,55.45,22.23,53.51,5.28
33,Cape Town,0,ZA,1567630630,67,-33.93,18.42,60.01,17.22
34,Labuhan,92,ID,1567630791,89,-2.54,115.51,69.89,1.28
35,Gimli,100,CA,1567630792,37,50.63,-96.99,75.99,5.01
36,Hithadhoo,10,MV,1567630649,80,-0.6,73.08,82.67,15.82
37,Miri,100,NG,1567630795,90,10.31,9.75,72.05,4.79
38,Brejinho,75,BR,1567630796,88,-6.2,-35.36,75.2,10.29
39,Chumikan,33,RU,1567630651,85,54.72,135.31,50.45,7.81
40,Punta Arenas,0,CL,1567630639,74,-53.16,-70.91,42.8,4.7
41,Jamestown,0,AU,1567630624,70,-33.21,138.6,50.81,0.36
42,Ugoofaaru,74,MV,1567630801,78,5.67,73.0,82.31,8.46
43,Thompson,20,CA,1567630627,43,55.74,-97.86,55.4,3.36
44,Kavieng,100,PG,1567630625,76,-2.57,150.8,81.95,8.59
45,Tottori,100,JP,1567630805,90,35.5,134.23,73.49,5.86
46,Sumbe,7,AO,1567630807,89,-11.2,13.84,70.79,10.51
47,Kyzyl-Suu,45,KG,1567630808,64,42.34,78.0,61.25,11.39
48,Torbay,90,CA,1567630809,93,47.66,-52.73,66.99,10.29
49,Rumes,0,FR,1567630811,77,50.56,3.3,59.0,10.29
50,Kruisfontein,100,ZA,1567630643,90,-34.0,24.73,54.05,3.33
51,Hailar,95,CN,1567630813,96,49.2,119.7,58.73,7.92
52,Atuona,52,PF,1567630664,75,-9.8,-139.03,78.89,11.63
53,Bagdarin,1,RU,1567630815,90,54.44,113.59,43.97,1.05
54,Carnarvon,65,ZA,1567630446,31,-30.97,22.13,54.95,15.99
55,Harvard,1,US,1567630818,53,40.62,-98.1,81.0,9.17
56,Bluff,29,AU,1567630637,29,-23.58,149.07,65.21,5.06
57,Salto,66,BR,1567630820,68,-23.2,-47.29,75.0,16.11
58,Faanui,27,PF,1567630822,81,-16.48,-151.75,77.99,21.32
59,Geraldton,40,CA,1567630643,44,49.72,-86.95,59.0,13.87
60,Bacolod,100,PH,1567630824,84,10.68,122.95,80.15,8.46
61,Iqaluit,75,CA,1567630662,70,63.75,-68.52,46.4,4.7
62,Lavrentiya,100,RU,1567630826,96,65.58,-170.99,45.41,8.77
63,Gornyy,0,RU,1567630828,76,51.76,48.54,51.89,4.97
